description	log10pvalue	representative
viral process	10.5546	viral process
biological adhesion	1.4704	biological adhesion
cell-substrate adhesion	3.5356	cell-substrate adhesion
cell-matrix adhesion	2.1696	cell-substrate adhesion
cell adhesion	1.4561	cell-substrate adhesion
developmental process	1.4739	developmental process
response to oxygen levels	4.9476	response to oxygen levels
peptidyl-amino acid modification	1.4669	response to oxygen levels
positive regulation of cellular process	4.237	response to oxygen levels
positive regulation of cellular protein metabolic process	2.9881	response to oxygen levels
response to nitrogen compound	3.8787	response to oxygen levels
response to oxygen-containing compound	4.1893	response to oxygen levels
regulation of protein metabolic process	1.8997	response to oxygen levels
positive regulation of protein metabolic process	2.9545	response to oxygen levels
response to topologically incorrect protein	4.2135	response to oxygen levels
transcription from RNA polymerase II promoter	2.8031	response to oxygen levels
regulation of response to stimulus	1.4082	response to oxygen levels
positive regulation of RNA metabolic process	5.3131	response to oxygen levels
regulation of transcription from RNA polymerase II promoter	3.1186	response to oxygen levels
protein modification by small protein conjugation or removal	1.5557	response to oxygen levels
positive regulation of gene expression	4.2129	response to oxygen levels
cellular response to abiotic stimulus	1.942	response to oxygen levels
response to abiotic stimulus	4.3344	response to oxygen levels
positive regulation of macromolecule metabolic process	6.3544	response to oxygen levels
response to lipid	1.9461	response to oxygen levels
cellular response to growth factor stimulus	1.3458	response to oxygen levels
cellular response to chemical stimulus	4.8195	response to oxygen levels
response to growth factor	1.9351	response to oxygen levels
positive regulation of macromolecule biosynthetic process	4.1951	response to oxygen levels
cellular response to organic substance	6.5621	response to oxygen levels
response to organic substance	6.7835	response to oxygen levels
cellular response to cytokine stimulus	2.9044	response to oxygen levels
response to decreased oxygen levels	4.0828	response to oxygen levels
cellular response to increased oxygen levels	2.2463	response to oxygen levels
response to endogenous stimulus	2.6236	response to oxygen levels
positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus	1.7362	response to oxygen levels
response to cytokine	3.1289	response to oxygen levels
positive regulation of metabolic process	5.3989	response to oxygen levels
negative regulation of transcription from RNA polymerase II promoter	1.5071	response to oxygen levels
response to stress	2.0239	response to oxygen levels
response to organonitrogen compound	4.5506	response to oxygen levels
cellular protein modification process	1.64	response to oxygen levels
cellular component organization or biogenesis	3.08	cellular component organization or biogenesis
regulation of cellular catabolic process	4.766	regulation of cellular catabolism
regulation of steroid metabolic process	2.1149	regulation of cellular catabolism
