description	log10pvalue	representative
homophilic cell adhesion via plasma membrane adhesion molecules	18.2521	homophilic cell adhesion via plasma membrane adhesion molecules
cell-cell adhesion	4.7033	homophilic cell adhesion via plasma membrane adhesion molecules
cell-cell adhesion via plasma-membrane adhesion molecules	13.4219	homophilic cell adhesion via plasma membrane adhesion molecules
positive regulation of cholesterol esterification	3.2513	positive regulation of cholesterol esterification
negative regulation of lipid biosynthetic process	1.5901	positive regulation of cholesterol esterification
negative regulation of phosphatidylcholine catabolic process	1.3324	positive regulation of cholesterol esterification
steroid esterification	2.6231	positive regulation of cholesterol esterification
macromolecular complex remodeling	2.1695	macromolecular complex remodeling
protein-lipid complex subunit organization	1.6858	macromolecular complex remodeling
phospholipid efflux	2.9881	phospholipid efflux
cholesterol efflux	1.546	phospholipid efflux
chylomicron remnant clearance	3.1544	chylomicron remnant clearance
