GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     849993     889961    243      43  313876     -0.66015      0.74542
26155        1     869583     904679    188      33  297369    -0.066294      0.52643
339451       1     885967     911099    150      31  291913      0.48129      0.31516
84069        1     891872     920488    162      40  287770      0.93112       0.1759
84808        1     900579     927473    137      33  316654      0.69344      0.24402
57801        1     924342     946608    137      25  327897      0.67153      0.25094
9636         1     938847     959920    123      24  343989       1.3421     0.089784
375790       1     945503    1001499    337      37  328086        2.651    0.0040126
401934       1     997126    1019687     89      17  327748       1.7842     0.037193
54991        1    1007198    1061736    278      26  319009      0.98446      0.16245
254173       1    1099286    1143315    264      30  313560       1.4233     0.077323
8784         1    1128888    1152163    119      20  369657       1.7191     0.042798
7293         1    1136706    1159703    131      17  337129      0.96635      0.16693
51150        1    1142288    1177447    215      18  358946       1.0558      0.14552
126792       1    1157629    1180421    147      11  363610      0.97545      0.16467
388581       1    1167826    1192102    121      18  322405      0.38436      0.35036
118424       1    1179292    1219234    197      31  331822      0.56701      0.28535
6339         1    1205816    1237409    182      37  299858      0.73924      0.22988
116983       1    1217764    1253304    186      45  292009      0.90539      0.18263
126789       1    1233962    1257057     99      26  343516      0.61657      0.26876
54973        1    1236965    1270067    156      34  334790        0.599      0.27459
80772        1    1250136    1274276    121      28  320556      0.61657      0.26876
83756        1    1256726    1279844    122      27  311894       0.6205      0.26746
1855         1    1260658    1294509    167      27  324140      0.50259      0.30763
54587        1    1278071    1307183    182      23  312533      -0.1003      0.53995
54998        1    1299110    1320818    164      19  308319     -0.26924      0.60613
81669        1    1311091    1344718    145      24  313716   -0.0050286      0.50201
55052        1    1327276    1352693    101      17  331588     -0.10484      0.54175
441869       1    1343800    1366824    109      13  315227     -0.11508      0.54581
643965       1    1351508    1373167     86      13  309180      0.21709      0.41407
64856        1    1360903    1388262     93      16  182436     -0.28001      0.61027
219293       1    1368152    1415538    190      27   92429    -0.065961       0.5263
83858        1    1397139    1454852    253      20  148110      0.31536      0.37624
55210        1    1437523    1480067    188      24  185630      0.31107      0.37787
339453       1    1460158    1485740    124      21  213562     -0.45551      0.67563
29101        1    1467053    1520262    214      24  225363     -0.83755      0.79886
643988       1    1523388    1545476     68      11  118551      0.62987      0.26439
142678       1    1540795    1575990     79      14  201396      0.45469      0.32467
8510         1    1557060    1580030     35       9   89078       0.6795      0.24841
984          1    1561100    1600473     93      13  114483       0.3999      0.34461
728661       1    1581486    1634243    130      19  147367      0.66541       0.2529
728642       1    1623822    1665999    143      15   17345     -0.64955      0.74201
9906         1    1646277    1687438    188      19   62589     -0.72868       0.7669
65220        1    1672671    1721508    133      19  302520       -1.001      0.84159
2782         1    1706725    1832552    240      33  327359      -1.5625      0.94091
163688       1    1836266    1858733     86      11  371470      -1.2249       0.8897
339456       1    1839029    1860740     88      12  367670      -1.1202      0.86869
85452        1    1843390    1945276    525      38  271994     -0.72749      0.76654
2563         1    1940768    1972192    101      16  213557       1.1556      0.12393
5590         1    1971909    2126834    684      55  345978     -0.75547      0.77502
100506504    1    2103250    2125812     64      22  366631      -0.3158      0.62392
199990       1    2105899    2154159    142      36  351030     -0.27996      0.61025
6497         1    2150134    2251652    392      75  326495      0.18809       0.4254
79906        1    2241719    2333190    480      65  361467      -1.0233      0.84692
11079        1    2313214    2346883    134      39  362296     -0.65581      0.74403
5192         1    2326241    2354010    126      37  339241      0.31231       0.3774
9651         1    2397754    2446964    232      48  340388     -0.20519      0.58129
55229        1    2429975    2468061    184      33  362270     -0.47906      0.68405
388585       1    2450184    2471684     96      26  328690     -0.58238      0.71985
8764         1    2477291    2505268    107      17  320336      0.38801        0.349
127281       1    2507899    2532908    127      16  361521    -0.038157      0.51522
79258        1    2512078    2574499    289      19  367701    -0.030545      0.51218
100287898    1    2562807    2716230    469      30  149884       -1.237      0.89196
140625       1    2928046    2949467     98      17  354305     -0.11375      0.54528
63976        1    2975565    3365185   1939     210  325449      0.61323      0.26986
27237        1    3361147    3407677    216      28  356476     0.087583       0.4651
1953         1    3394506    3538059    733     114  315480      -1.6616       0.9517
127262       1    3531556    3556695    124      23  377171      -1.0666      0.85693
49856        1    3537331    3576671    165      33  331362     -0.71476      0.76262
7161         1    3559129    3662765    425      75  316928     -0.93902      0.82614
148870       1    3658965    3698209    197      38  373280      0.13194      0.44752
388588       1    3679352    3702546    152      24  368678       1.1597      0.12308
57470        1    3686784    3723068    234      31  374865      0.56597      0.28571
9731         1    3718645    3783797    481      27  372141     -0.11497      0.54576
1677         1    3763845    3811993    348      40  360626     -0.39939       0.6552
339448       1    3795697    3826857    165      25  383797      -1.3118      0.90521
55966        1    4705105    4853851    952     119  383696      -2.0735      0.98094
261734       1    5912870    6062618    692      41  386562     0.050124      0.48001
8514         1    6042358    6171253    494      87  346105     -0.10363      0.54127
26038        1    6151847    6250194    406      50  355048       1.3426     0.089708
6146         1    6235080    6269679     94      17  363918       1.0738      0.14145
388591       1    6256189    6291359    115      20  375344      0.72114      0.23541
23463        1    6271253    6306044    107      19  372038       0.9233      0.17793
390992       1    6294252    6315638     59      13  359972       1.5226     0.063932
387509       1    6297406    6331035    111      16  307450         1.14      0.12714
11332        1    6314332    6463826    651      38  361289     -0.80415      0.78934
54626        1    6465292    6494724    121      14  378016     -0.38969      0.65162
83715        1    6474836    6531004    203      25  352250     -0.54917      0.70855
8718         1    6510787    6537432     86      21  334356     -0.60918       0.7288
57449        1    6516152    6590121    290      45  345128     0.083527      0.46672
79707        1    6571407    6624658    280      14  363761      0.51197      0.30434
80835        1    6604987    6649817    190      27  375099      0.68211      0.24758
3104         1    6630051    6659340     94      36  395825       1.1178      0.13182
9903         1    6640784    6672958     99      32  387838       1.0841      0.13916
148479       1    6663756    6694093     89      23  383148        1.239      0.10767
90326        1    6674925    6705646    111      26  371360       1.8791     0.030113
55735        1    6684228    6771966    293      34  386058       1.5706     0.058139
23261        1    6835384    7839766   3704     266  351967      0.62272      0.26673
9341         1    7821329    7851492    100      22  402699      0.68971      0.24519
8863         1    7834413    7915241    375      38  391927      0.36257      0.35846
10911        1    7897672    7923551    132      31  384106     -0.82204      0.79447
3604         1    7965931    8013225    138      23  365060      -1.4979      0.93292
11315        1    8011714    8055342    134      25  364601      0.92653      0.17708
54206        1    8061779    8096393     80      16  380374      0.34908      0.36351
50651        1    8368171    8414227    177      32  373806      0.87513      0.19075
473          1    8402464    8887699   1184      48  370602       1.0861      0.13871
2023         1    8911059    8949151    109      21  347953     -0.71287      0.76204
765          1    8995893    9045151    236      59  350462      0.75012      0.22659
155184       1    9053359    9096404    194      44  354520      0.15236      0.43945
6518         1    9087005    9141763    265      28  330540       1.5598     0.059403
80045        1    9153472    9199229    179      31  344034      0.93533      0.17481
9563         1    9284822    9341396    265      34  347559    -0.090927      0.53622
80176        1    9325202    9439591    681     102  361173      -1.1565      0.87626
84275        1    9589528    9652831    141      21  309768       1.3444     0.089405
199953       1    9638932    9684935    101      19  348953       2.2173     0.013301
5293         1    9701789    9799172    327      55  352769      0.86768      0.19278
22883        1    9779079    9894550    312      40  353631      0.74861      0.22705
56998        1    9898334    9980316    234      43  339778      0.97166      0.16561
84328        1    9972168   10013460    119      23  361226      -0.7783       0.7818
64802        1    9993486   10055556    164      28  377056       -1.577       0.9426
116362       1   10047255   10086078    110      18  374682      -1.5659      0.94131
10277        1   10083041   10251297    538      30  361196     -0.65914       0.7451
23095        1   10260606   10451664    763      23  390286      0.45873      0.32322
5226         1   10448884   10490565    156      25  353405      0.25326      0.40003
378708       1   10479944   10520239    147      19  328611     -0.55249       0.7097
100526739    1   10480159   10522060    152      20  329958     -0.53793      0.70469
1325         1   10499776   10522060     57      14  365796     -0.40016      0.65548
1676         1   10510588   10542613     97      25  321711     -0.45524      0.67553
5195         1   10525003   10700815    534      46  370577     -0.98174      0.83689
54897        1   10686661   10866733    574      99  330194       -0.542      0.70609
148345       1   10996530   11052094    254      29  345011     -0.68841       0.7544
23435        1   11062462   11095549    111      15  353027     -0.12572      0.55002
10747        1   11076580   11117296    127      18  338716     -0.35702      0.63946
6723         1   11104649   11130091     91      11  330712    -0.056096      0.52237
5394         1   11116675   11169961    182      11  364922     -0.55824      0.71166
2475         1   11156588   11332614    455      16  385638     -0.73726      0.76952
10218        1   11239346   11266038     56       6  379066     -0.48599      0.68651
29914        1   11323255   11358491     68      11  379261      0.16673      0.43379
57540        1   11529295   11607640    246      27  384503      0.20001      0.42074
26232        1   11697924   11724888     93      31  298507      0.22315      0.41171
93611        1   11704432   11733384    107      29  302835      0.45211      0.32559
26270        1   11714150   11744411    120      24  345489      0.57273      0.28341
10459        1   11724537   11761678    145      31  332404       -0.219      0.58668
374946       1   11741781   11790336    176      39  281914     -0.88827       0.8128
57085        1   11786142   11820828    116      23  297432      0.11524      0.45413
284498       1   11813827   11859642    237      22  366669       1.5893     0.055992
4524         1   11835787   11876160    250      20  400233      0.87455      0.19091
1185         1   11856153   11913201    354      24  378310      0.14559      0.44212
4878         1   11895766   11917840    124      22  383356      0.39567      0.34617
4879         1   11907521   11928992    101      22  385023      0.29978      0.38217
