GENE       CHR      START       STOP  NSNPS  NPARAM    N        ZSTAT            P
148398       1     849993     889961     40       4  556     -0.28881      0.61364
26155        1     869583     904679     17       2  556     -0.36881      0.64387
339451       1     885967     911099     19       5  556     -0.90328      0.81681
84069        1     891872     920488     45       8  556     -0.70799      0.76052
84808        1     900579     927473     66      10  556      -1.0026      0.84197
57801        1     924342     946608     75       8  556      -0.7894      0.78506
9636         1     938847     959920     59       7  556   -0.0094411      0.50377
375790       1     945503    1001499    123      17  556     0.094723      0.46227
401934       1     997126    1019687     67      11  556      0.34576      0.36476
54991        1    1007198    1061736    233      21  556     -0.28061      0.61049
254173       1    1099286    1143315    232      30  556        1.235      0.10841
8784         1    1128888    1152163    118      20  556       2.3234     0.010078
7293         1    1136706    1159703    120      15  556       2.2521     0.012158
51150        1    1142288    1177447    196      14  556       1.8567      0.03168
126792       1    1157629    1180421    133       9  556        1.463     0.071735
388581       1    1167826    1192102    103      13  556       2.2085     0.013606
118424       1    1179292    1219234    165      23  556       3.3609    0.0003884
6339         1    1205816    1237409    162      30  556       2.8657    0.0020806
116983       1    1217764    1253304    156      33  556       1.7948     0.036345
126789       1    1233962    1257057     72      18  556       1.9343     0.026541
54973        1    1236965    1270067    103      19  556       1.6066     0.054076
80772        1    1250136    1274276     67      11  556       1.1957      0.11591
83756        1    1256726    1279844     73      11  556      0.95835      0.16894
1855         1    1260658    1294509    103      12  556      0.92737      0.17687
54587        1    1278071    1307183    134      13  556        1.197      0.11564
54998        1    1299110    1320818    131      13  556       1.1712      0.12076
81669        1    1311091    1344718     98      12  556       1.7114     0.043505
55052        1    1327276    1352693     75      10  556       1.5972     0.055107
441869       1    1343800    1366824    101      12  556      0.91376      0.18042
643965       1    1351508    1373167     80      12  556      0.77189      0.22009
64856        1    1360903    1388262     85      14  556      0.90515      0.18269
219293       1    1368152    1415538    154      20  556      0.26762      0.39449
83858        1    1397139    1454852    224      20  556      0.69761      0.24271
55210        1    1437523    1480067    165      19  556    -0.072964      0.52908
339453       1    1460158    1485740    109      17  556      0.27835      0.39037
29101        1    1467053    1520262    195      18  556     -0.02635      0.51051
728642       1    1623822    1665999     24       4  556      0.67179      0.25086
9906         1    1646277    1687438     80       6  556      0.76706      0.22152
65220        1    1672671    1721508     90       9  556      0.81693      0.20698
2782         1    1706725    1832552    149      14  556      0.93677      0.17444
163688       1    1836266    1858733     66       7  556       1.5254     0.063585
339456       1    1839029    1860740     67       7  556       1.4992     0.066909
85452        1    1843390    1945276    284      15  556       1.0222      0.15334
2563         1    1940768    1972192     21       1  556       1.2356      0.10831
5590         1    1971909    2126834    594      46  556     -0.50499      0.69322
100506504    1    2103250    2125812     57      18  556     -0.14467      0.55751
199990       1    2105899    2154159    136      33  556     -0.51233      0.69579
6497         1    2150134    2251652    379      67  556     -0.18862      0.57481
79906        1    2241719    2333190    470      62  556     0.066256      0.47359
11079        1    2313214    2346883    128      36  556    -0.014794       0.5059
5192         1    2326241    2354010    114      32  556     -0.87631      0.80957
9651         1    2397754    2446964    257      46  556      0.11259      0.45518
55229        1    2429975    2468061    206      39  556     -0.23043      0.59112
388585       1    2450184    2471684    111      34  556    -0.022228      0.50887
8764         1    2477291    2505268    129      23  556     -0.49666      0.69028
127281       1    2507899    2532908    136      18  556     -0.45982      0.67718
79258        1    2512078    2574499    309      24  556     -0.80445      0.78943
100287898    1    2562807    2716230    591      39  556       -1.075      0.85881
140625       1    2928046    2949467    111      21  556     0.032434      0.48706
63976        1    2975565    3365185   1924     209  556     -0.93448      0.82497
27237        1    3361147    3407677    193      23  556      0.10021      0.46009
1953         1    3394506    3538059    685     102  556     0.094186      0.46248
127262       1    3531556    3556695    105      17  556      0.62248      0.26681
