GENE       CHR      START       STOP  NSNPS  NPARAM    N        ZSTAT            P
148398       1     849993     889961     40       4  556      0.94874      0.17138
26155        1     869583     904679     17       2  556      0.38282      0.35093
339451       1     885967     911099     19       5  556     -0.26551      0.60469
84069        1     891872     920488     45       8  556      -1.1112      0.86677
84808        1     900579     927473     66      10  556     -0.59239      0.72321
57801        1     924342     946608     75       8  556      0.15582      0.43809
9636         1     938847     959920     59       7  556      0.42667      0.33481
375790       1     945503    1001499    123      17  556      -0.4609      0.67757
401934       1     997126    1019687     67      11  556     -0.70166      0.75855
54991        1    1007198    1061736    233      21  556      -1.8573      0.96836
254173       1    1099286    1143315    232      30  556      0.83756      0.20114
8784         1    1128888    1152163    118      20  556       1.4312     0.076192
7293         1    1136706    1159703    120      15  556       1.8246     0.034027
51150        1    1142288    1177447    196      14  556       1.8659      0.03103
126792       1    1157629    1180421    133       9  556        1.836     0.033179
388581       1    1167826    1192102    103      13  556       2.3086     0.010483
118424       1    1179292    1219234    165      23  556       2.2219     0.013146
6339         1    1205816    1237409    162      30  556       1.6431     0.050185
116983       1    1217764    1253304    156      33  556       1.2562      0.10451
126789       1    1233962    1257057     72      18  556      0.99388      0.16014
54973        1    1236965    1270067    103      19  556      0.94069      0.17343
80772        1    1250136    1274276     67      11  556      0.68443      0.24685
83756        1    1256726    1279844     73      11  556      0.77488       0.2192
1855         1    1260658    1294509    103      12  556      0.65435      0.25644
54587        1    1278071    1307183    134      13  556       1.7793     0.037598
54998        1    1299110    1320818    131      13  556       1.9182     0.027544
81669        1    1311091    1344718     98      12  556       1.2857     0.099276
55052        1    1327276    1352693     75      10  556      0.92676      0.17703
441869       1    1343800    1366824    101      12  556      0.11469      0.45435
643965       1    1351508    1373167     80      12  556      0.41275      0.33989
64856        1    1360903    1388262     85      14  556      0.96073      0.16834
219293       1    1368152    1415538    154      20  556      0.24812      0.40202
83858        1    1397139    1454852    224      20  556      0.37389      0.35424
55210        1    1437523    1480067    165      19  556     -0.50774      0.69418
339453       1    1460158    1485740    109      17  556     -0.40784      0.65831
29101        1    1467053    1520262    195      18  556     -0.17208      0.56831
728642       1    1623822    1665999     24       4  556       1.0082      0.15669
9906         1    1646277    1687438     80       6  556      0.62484      0.26604
65220        1    1672671    1721508     90       9  556      0.92262       0.1781
2782         1    1706725    1832552    149      14  556       1.8592       0.0315
163688       1    1836266    1858733     66       7  556      0.59149      0.27709
339456       1    1839029    1860740     67       7  556      0.44815      0.32702
85452        1    1843390    1945276    284      15  556      0.21191      0.41609
2563         1    1940768    1972192     21       1  556     -0.63424      0.73704
5590         1    1971909    2126834    594      46  556     -0.50338      0.69265
100506504    1    2103250    2125812     57      18  556     -0.16005      0.56358
199990       1    2105899    2154159    136      33  556      0.32749      0.37165
6497         1    2150134    2251652    379      67  556       1.6096     0.053741
79906        1    2241719    2333190    470      62  556      0.88535      0.18798
11079        1    2313214    2346883    128      36  556      0.66475      0.25311
5192         1    2326241    2354010    114      32  556     -0.31151      0.62229
9651         1    2397754    2446964    257      46  556      0.52434      0.30002
55229        1    2429975    2468061    206      39  556       1.4329     0.075939
388585       1    2450184    2471684    111      34  556       1.0498       0.1469
8764         1    2477291    2505268    129      23  556     0.076993      0.46931
127281       1    2507899    2532908    136      18  556    -0.012484      0.50498
79258        1    2512078    2574499    309      24  556     -0.35924      0.64029
100287898    1    2562807    2716230    591      39  556     -0.71428      0.76247
140625       1    2928046    2949467    111      21  556     -0.33517      0.63125
63976        1    2975565    3365185   1924     209  556     -0.24358      0.59622
27237        1    3361147    3407677    193      23  556      0.64696      0.25883
1953         1    3394506    3538059    685     102  556       1.3067     0.095662
127262       1    3531556    3556695    105      17  556      0.85123      0.19732
49856        1    3537331    3576671    133      23  556      0.63226      0.26361
7161         1    3559129    3662765    355      60  556     -0.90929       0.8184
148870       1    3658965    3698209    182      33  556       2.3068     0.010534
388588       1    3679352    3702546    148      22  556       2.4156     0.007855
57470        1    3686784    3723068    237      32  556       1.9801     0.023849
9731         1    3718645    3783797    479      25  556       1.0997      0.13573
1677         1    3763845    3811993    356      43  556      0.69323      0.24408
339448       1    3795697    3826857    151      22  556      0.66172      0.25408
